home_listing_id,name,availability,price,image[0].url,url,address.addr1,address.city,address.region,address.country,latitude,longitude,property_type,listing_type
7797433,SE VENDE DEPARTAMENTO COSTANERA VILLA CARLOS PAZ,for_sale,95000.00 USD,https://static.tokkobroker.com/w_pics/7797433_36639448385043511656300074596941850910120728630691733843300085763400549717517.jpg,https://www.biderbostgrupodesarrollista.com/Propiedades/7797433,Argentina | Cordoba | Punilla | Villa Carlos Paz,,,Argentina | Cordoba | Punilla | Villa Carlos Paz,-31.401440194373392,-64.481476000000000,apartment,for_sale_by_agent
7797394,SE VENDE TERRENO EN BECCIU VILLA CARLOS PAZ,for_sale,95000.00 USD,https://static.tokkobroker.com/w_pics/7797394_69440269712965544065557477965550499742601643082512747732473157567841821013472.jpg,https://www.biderbostgrupodesarrollista.com/Propiedades/7797394,Argentina | Cordoba | Punilla | Villa Carlos Paz,,,Argentina | Cordoba | Punilla | Villa Carlos Paz,-31.411674800000000,-64.508368099999998,land,for_sale_by_agent
7797416,EN VENTA DEPARTAMENTO CENTRICO EN VILLA CARLOS PAZ,for_sale,95000.00 USD,https://static.tokkobroker.com/w_pics/7797416_28662270633391490312357780401212350789024742185275799011712596778019596264835.jpg,https://www.biderbostgrupodesarrollista.com/Propiedades/7797416,Argentina | Cordoba | Punilla | Villa Carlos Paz,,,Argentina | Cordoba | Punilla | Villa Carlos Paz,-31.422303400000000,-64.498100999999905,apartment,for_sale_by_agent
7797502,SE VENDE TERRENO EN JOSE MUÑOZ VILLA CARLOS PAZ,for_sale,97000.00 USD,https://static.tokkobroker.com/w_pics/7797502_73747525988142092573609277893811803485121982723551490506701675920734108814463.jpg,https://www.biderbostgrupodesarrollista.com/Propiedades/7797502,Argentina | Cordoba | Punilla | Villa Carlos Paz | José Muñoz,,,Argentina | Cordoba | Punilla | Villa Carlos Paz | José Muñoz,-31.420930499999990,-64.485433999999997,land,for_sale_by_agent
7797459,SE VENDE CASA EN VILLA DEL LAGO CON VISTAS A LAS SIERRAS,for_sale,100000.00 USD,https://static.tokkobroker.com/w_pics/7797459_46431567026293165043990228340722367149961078947410611828570946663949534591477.jpg,https://www.biderbostgrupodesarrollista.com/Propiedades/7797459,Argentina | Cordoba | Punilla | Villa Carlos Paz | Villa del Lago,,,Argentina | Cordoba | Punilla | Villa Carlos Paz | Villa del Lago,-31.392948072676524,-64.506338999999996,house,for_sale_by_agent
7797486,SE VENDE OPORTUNIDAD DE LOCAL-VIVIENDA,for_sale,100000.00 USD,https://static.tokkobroker.com/w_pics/7797486_52673135534196209094364130508795339226469360679864742498362184068129460085659.jpg,https://www.biderbostgrupodesarrollista.com/Propiedades/7797486,Argentina | Cordoba | Punilla | Villa Carlos Paz | Miguel Muñoz,,,Argentina | Cordoba | Punilla | Villa Carlos Paz | Miguel Muñoz,-31.441822299999998,-64.501132200000000,house,for_sale_by_agent
7797484,SE VENDE OPORTUNIDAD DE LOCAL-VIVIENDA,for_sale,100000.00 USD,https://static.tokkobroker.com/w_pics/7797484_22266520484558382266686220124433443053213384554257241364175214589461482290651.jpg,https://www.biderbostgrupodesarrollista.com/Propiedades/7797484,Argentina | Cordoba | Punilla | Villa Carlos Paz | Miguel Muñoz,,,Argentina | Cordoba | Punilla | Villa Carlos Paz | Miguel Muñoz,-31.441822299999998,-64.501132200000000,other,for_sale_by_agent
7797422,DEPARTAMENTO EN VENTA CENTRICO EN PASEO QUATTRO CARLOS PAZ,for_sale,100000.00 USD,https://static.tokkobroker.com/w_pics/7797422_77087151962083981332371545172388293375603606029566800524729286059984621347094.jpg,https://www.biderbostgrupodesarrollista.com/Propiedades/7797422,Argentina | Cordoba | Punilla | Villa Carlos Paz,,,Argentina | Cordoba | Punilla | Villa Carlos Paz,-31.422278699999999,-64.501518300000000,apartment,for_sale_by_agent
7797426,OPORTUNIDAD DEPARTAMENTO UN DORMITORIO EN EDIFICIO VOW,for_sale,100000.00 USD,https://static.tokkobroker.com/w_pics/7797426_31544306390071557350542697162318081435344557528992758758420541970784482244371.jpg,https://www.biderbostgrupodesarrollista.com/Propiedades/7797426,Argentina | Cordoba | Punilla | Villa Carlos Paz,,,Argentina | Cordoba | Punilla | Villa Carlos Paz,-31.420400999999998,-64.491107399999989,apartment,for_sale_by_agent
7797449,SE VENDE CASA EN B° LA QUINTA CON GRAN TERRENO Y VEGETACION,for_sale,100000.00 USD,https://static.tokkobroker.com/w_pics/7797449_101113638982444039707507550078347107856840527953573598730366169046412942200725.jpg,https://www.biderbostgrupodesarrollista.com/Propiedades/7797449,Argentina | Cordoba | Punilla | Villa Carlos Paz | La Quinta,,,Argentina | Cordoba | Punilla | Villa Carlos Paz | La Quinta,-31.429049500000001,-64.512814099999999,house,for_sale_by_agent
7797469,SE VENDE CASA EN B° LA QUINTA A METROS DE BALNEARIO LA HOYA,for_sale,105000.00 USD,https://static.tokkobroker.com/w_pics/7797469_10272772922941583994283390255551028957500558561029243569192261838348262101005.jpg,https://www.biderbostgrupodesarrollista.com/Propiedades/7797469,Argentina | Cordoba | Punilla | Villa Carlos Paz | La Quinta,,,Argentina | Cordoba | Punilla | Villa Carlos Paz | La Quinta,-31.424360700000001,-64.513115099999993,house,for_sale_by_agent
7797503,SE VENDE TERRENO EN BECCIU VILLA CARLOS PAZ,for_sale,105000.00 USD,https://static.tokkobroker.com/w_pics/7797503_40623814106081071884353718176604556381347950965439196852240277514592077338077.jpg,https://www.biderbostgrupodesarrollista.com/Propiedades/7797503,Argentina | Cordoba | Punilla | Villa Carlos Paz,,,Argentina | Cordoba | Punilla | Villa Carlos Paz,-31.412253299999999,-64.508754199999998,land,for_sale_by_agent
